model,bs,seq_len,latency
resnet101,16,0,28183
resnet101,16,0,26329
resnet101,16,0,21375
resnet101,16,0,23065
resnet101,16,0,22882
resnet101,16,0,23124
resnet101,16,0,23824
resnet101,16,0,22108
resnet101,16,0,22152
resnet101,16,0,26100
resnet101,16,0,21459
resnet101,16,0,23498
resnet101,16,0,22251
resnet101,16,0,21450
resnet101,16,0,21458
resnet101,16,0,21414
resnet101,16,0,25838
resnet101,16,0,22289
resnet101,16,0,23427
resnet101,16,0,21866
resnet101,16,0,22095
resnet101,16,0,23056
resnet101,16,0,21526
resnet101,16,0,22539
resnet101,16,0,23265
resnet101,16,0,22583
resnet101,16,0,21821
resnet101,16,0,21520
resnet101,16,0,22092
resnet101,16,0,21314
resnet101,16,0,21379
resnet101,16,0,22101
resnet101,16,0,21482
resnet101,16,0,23055
resnet101,16,0,21430
resnet101,16,0,21567
resnet101,16,0,21801
resnet101,16,0,21768
resnet101,16,0,21996
resnet101,16,0,21810
resnet101,16,0,21461
resnet101,16,0,21356
resnet101,16,0,22327
resnet101,16,0,21355
resnet101,16,0,21623
resnet101,16,0,21663
resnet101,16,0,22903
resnet101,16,0,22896
resnet101,16,0,21592
resnet101,16,0,22084
resnet101,16,0,21426
resnet101,16,0,22328
resnet101,16,0,21477
resnet101,16,0,22390
resnet101,16,0,21574
resnet101,16,0,23017
resnet101,16,0,21478
resnet101,16,0,22912
resnet101,16,0,23075
resnet101,16,0,23170
resnet101,16,0,23002
resnet101,16,0,21472
resnet101,16,0,22969
resnet101,16,0,22249
resnet101,16,0,21516
resnet101,16,0,21468
resnet101,16,0,21413
resnet101,16,0,21657
resnet101,16,0,22249
resnet101,16,0,21579
resnet101,16,0,21507
resnet101,16,0,23149
resnet101,16,0,23714
resnet101,16,0,23194
resnet101,16,0,22304
resnet101,16,0,21986
resnet101,16,0,22339
resnet101,16,0,21475
resnet101,16,0,21530
resnet101,16,0,21443
resnet101,16,0,22164
resnet101,16,0,21495
resnet101,16,0,23550
resnet101,16,0,22894
resnet101,16,0,22399
resnet101,16,0,22147
resnet101,16,0,22303
resnet101,16,0,23102
resnet101,16,0,21961
resnet101,16,0,21438
resnet101,16,0,21664
resnet101,16,0,21360
resnet101,16,0,21584
resnet101,16,0,22893
resnet101,16,0,22833
resnet101,16,0,22797
resnet101,16,0,21711
resnet101,16,0,21548
resnet101,16,0,22281
resnet101,16,0,23103
resnet101,16,0,22834
resnet101,16,0,22166
resnet101,16,0,21653
resnet101,16,0,21813
resnet101,16,0,21690
resnet101,16,0,22244
resnet101,16,0,22919
resnet101,16,0,22967
resnet101,16,0,23072
resnet101,16,0,22024
resnet101,16,0,21718
resnet101,16,0,22203
resnet101,16,0,23187
resnet101,16,0,27215
resnet101,16,0,24104
resnet101,16,0,23099
resnet101,16,0,22201
resnet101,16,0,21288
resnet101,16,0,22045
resnet101,16,0,22206
resnet101,16,0,21696
resnet101,16,0,22850
resnet101,16,0,25421
resnet101,16,0,21654
resnet101,16,0,21431
resnet101,16,0,22428
resnet101,16,0,22267
resnet101,16,0,22158
resnet101,16,0,21453
resnet101,16,0,22942
resnet101,16,0,22897
resnet101,16,0,22122
resnet101,16,0,23408
resnet101,16,0,22180
resnet101,16,0,23018
resnet101,16,0,22746
resnet101,16,0,22025
resnet101,16,0,22819
resnet101,16,0,22817
resnet101,16,0,21974
resnet101,16,0,22908
resnet101,16,0,23874
resnet101,16,0,22007
resnet101,16,0,21640
resnet101,16,0,21550
resnet101,16,0,21600
resnet101,16,0,22447
resnet101,16,0,23008
resnet101,16,0,22907
resnet101,16,0,22322
resnet101,16,0,23519
resnet101,16,0,23247
resnet101,16,0,23047
resnet101,16,0,21314
resnet101,16,0,22119
resnet101,16,0,23111
resnet101,16,0,21187
resnet101,16,0,21896
resnet101,16,0,21406
resnet101,16,0,23532
resnet101,16,0,23486
resnet101,16,0,21887
resnet101,16,0,22032
resnet101,16,0,21283
resnet101,16,0,21627
resnet101,16,0,22952
resnet101,16,0,21915
resnet101,16,0,21579
resnet101,16,0,25008
resnet101,16,0,21451
resnet101,16,0,21663
resnet101,16,0,21350
resnet101,16,0,21473
resnet101,16,0,21667
resnet101,16,0,22091
resnet101,16,0,21623
resnet101,16,0,21753
resnet101,16,0,23094
resnet101,16,0,24064
resnet101,16,0,21680
resnet101,16,0,21414
resnet101,16,0,21328
resnet101,16,0,22235
resnet101,16,0,21889
resnet101,16,0,22888
resnet101,16,0,22338
resnet101,16,0,23016
resnet101,16,0,25012
resnet101,16,0,22259
resnet101,16,0,21341
resnet101,16,0,22051
resnet101,16,0,21730
resnet101,16,0,21928
resnet101,16,0,22334
resnet101,16,0,21591
resnet101,16,0,25920
resnet101,16,0,27634
resnet101,16,0,25690
resnet101,16,0,25138
resnet101,16,0,27813
resnet101,16,0,24756
resnet101,16,0,23907
resnet101,16,0,22091
resnet101,16,0,22333
resnet101,16,0,22018
resnet101,16,0,25695
resnet101,16,0,21885
resnet101,16,0,21267
resnet101,16,0,21435
resnet101,16,0,21738
resnet101,16,0,21478
resnet101,16,0,21968
resnet101,16,0,21769
resnet101,16,0,22835
resnet101,16,0,24237
resnet101,16,0,21666
resnet101,16,0,22988
resnet101,16,0,23063
resnet101,16,0,23262
resnet101,16,0,21325
resnet101,16,0,23245
resnet101,16,0,21884
resnet101,16,0,22233
resnet101,16,0,21438
resnet101,16,0,22537
resnet101,16,0,23770
resnet101,16,0,23026
resnet101,16,0,23127
resnet101,16,0,23046
resnet101,16,0,22794
resnet101,16,0,22108
resnet101,16,0,21376
resnet101,16,0,21364
resnet101,16,0,23170
resnet101,16,0,22906
resnet101,16,0,22971
resnet101,16,0,23757
resnet101,16,0,21366
resnet101,16,0,22933
resnet101,16,0,22493
resnet101,16,0,21779
resnet101,16,0,21383
resnet101,16,0,22411
resnet101,16,0,21418
resnet101,16,0,22973
resnet101,16,0,21644
resnet101,16,0,22219
resnet101,16,0,25680
resnet101,16,0,23651
resnet101,16,0,30923
resnet101,16,0,26819
resnet101,16,0,22276
resnet101,16,0,21436
resnet101,16,0,21499
resnet101,16,0,21278
resnet101,16,0,21295
resnet101,16,0,21323
resnet101,16,0,23631
resnet101,16,0,30258
resnet101,16,0,21562
resnet101,16,0,22184
resnet101,16,0,21516
resnet101,16,0,21349
resnet101,16,0,23369
resnet101,16,0,21558
resnet101,16,0,21715
resnet101,16,0,21551
resnet101,16,0,22075
resnet101,16,0,23371
resnet101,16,0,21717
resnet101,16,0,21514
resnet101,16,0,22903
resnet101,16,0,21708
resnet101,16,0,21500
resnet101,16,0,22048
resnet101,16,0,22253
resnet101,16,0,21445
resnet101,16,0,23028
resnet101,16,0,22300
resnet101,16,0,21329
resnet101,16,0,26120
resnet101,16,0,22190
resnet101,16,0,21408
resnet101,16,0,23026
resnet101,16,0,27070
resnet101,16,0,24158
resnet101,16,0,23460
resnet101,16,0,23163
resnet101,16,0,23154
resnet101,16,0,23367
resnet101,16,0,27725
resnet101,16,0,27617
resnet101,16,0,24767
resnet101,16,0,25041
resnet101,16,0,24733
resnet101,16,0,26803
resnet101,16,0,24698
resnet101,16,0,25048
resnet101,16,0,24748
resnet101,16,0,25001
resnet101,16,0,24998
resnet101,16,0,24931
resnet101,16,0,25397
resnet101,16,0,25652
resnet101,16,0,24846
resnet101,16,0,27628
resnet101,16,0,26060
resnet101,16,0,26375
resnet101,16,0,24677
resnet101,16,0,25024
resnet101,16,0,24746
resnet101,16,0,24680
resnet101,16,0,24958
resnet101,16,0,24864
resnet101,16,0,24687
resnet101,16,0,30459
resnet101,16,0,26550
resnet101,16,0,26342
resnet101,16,0,26400
resnet101,16,0,24884
resnet101,16,0,24848
resnet101,16,0,25688
resnet101,16,0,25339
resnet101,16,0,25310
resnet101,16,0,26975
resnet101,16,0,25905
resnet101,16,0,24531
resnet101,16,0,25368
resnet101,16,0,24630
resnet101,16,0,25779
resnet101,16,0,27949
resnet101,16,0,26931
resnet101,16,0,24695
resnet101,16,0,25614
resnet101,16,0,25344
resnet101,16,0,27815
resnet101,16,0,24827
resnet101,16,0,25489
resnet101,16,0,26336
resnet101,16,0,26469
resnet101,16,0,25429
resnet101,16,0,24948
resnet101,16,0,24747
resnet101,16,0,30428
resnet101,16,0,21540
resnet101,16,0,21482
resnet101,16,0,21522
resnet101,16,0,24441
resnet101,16,0,21408
resnet101,16,0,21950
resnet101,16,0,21602
resnet101,16,0,21656
resnet101,16,0,22959
resnet101,16,0,21424
resnet101,16,0,21610
resnet101,16,0,22932
resnet101,16,0,22982
resnet101,16,0,21997
resnet101,16,0,22198
resnet101,16,0,21435
resnet101,16,0,22018
resnet101,16,0,25429
resnet101,16,0,23161
resnet101,16,0,27683
resnet101,16,0,31657
resnet101,16,0,26048
resnet101,16,0,27132
resnet101,16,0,26720
resnet101,16,0,26500
resnet101,16,0,25218
resnet101,16,0,24713
resnet101,16,0,26662
resnet101,16,0,27749
resnet101,16,0,25332
resnet101,16,0,26592
resnet101,16,0,25462
resnet101,16,0,26346
resnet101,16,0,27111
resnet101,16,0,26759
resnet101,16,0,25574
resnet101,16,0,26356
resnet101,16,0,26728
resnet101,16,0,26900
resnet101,16,0,27444
resnet101,16,0,26996
resnet101,16,0,26597
resnet101,16,0,26461
resnet101,16,0,26699
resnet101,16,0,26437
resnet101,16,0,26645
resnet101,16,0,25265
resnet101,16,0,26643
resnet101,16,0,26768
resnet101,16,0,25444
resnet101,16,0,29824
resnet101,16,0,27279
resnet101,16,0,29500
resnet101,16,0,28642
resnet101,16,0,26920
resnet101,16,0,28235
resnet101,16,0,31931
resnet101,16,0,28178
resnet101,16,0,26235
resnet101,16,0,25746
resnet101,16,0,26681
resnet101,16,0,26699
resnet101,16,0,27007
resnet101,16,0,27120
resnet101,16,0,28077
resnet101,16,0,29362
resnet101,16,0,27087
resnet101,16,0,26771
resnet101,16,0,27016
resnet101,16,0,26694
resnet101,16,0,26467
resnet101,16,0,26704
resnet101,16,0,26772
resnet101,16,0,26690
resnet101,16,0,27730
resnet101,16,0,27480
resnet101,16,0,29947
resnet101,16,0,26871
resnet101,16,0,25856
resnet101,16,0,26801
resnet101,16,0,27513
resnet101,16,0,26924
resnet101,16,0,26606
resnet101,16,0,26532
resnet101,16,0,26807
resnet101,16,0,27111
resnet101,16,0,27135
resnet101,16,0,31147
resnet101,16,0,27690
resnet101,16,0,26888
resnet101,16,0,27377
resnet101,16,0,27016
resnet101,16,0,28161
resnet101,16,0,25394
resnet101,16,0,26664
resnet101,16,0,26798
resnet101,16,0,27076
resnet101,16,0,26471
resnet101,16,0,28425
resnet101,16,0,27111
resnet101,16,0,28090
resnet101,16,0,22186
resnet101,16,0,21655
resnet101,16,0,21800
resnet101,16,0,21635
resnet101,16,0,21810
resnet101,16,0,21976
resnet101,16,0,21792
resnet101,16,0,21611
resnet101,16,0,21638
resnet101,16,0,21495
resnet101,16,0,21604
resnet101,16,0,33845
resnet101,16,0,27105
resnet101,16,0,26781
resnet101,16,0,27554
resnet101,16,0,26080
resnet101,16,0,26818
resnet101,16,0,26865
resnet101,16,0,26637
resnet101,16,0,26735
resnet101,16,0,27430
resnet101,16,0,27738
resnet101,16,0,27323
resnet101,16,0,27634
resnet101,16,0,26783
resnet101,16,0,26685
resnet101,16,0,27384
resnet101,16,0,26653
resnet101,16,0,26849
resnet101,16,0,26823
resnet101,16,0,26923
resnet101,16,0,27651
resnet101,16,0,26751
resnet101,16,0,27465
resnet101,16,0,27383
resnet101,16,0,26679
resnet101,16,0,27872
resnet101,16,0,30602
resnet101,16,0,35449
resnet101,16,0,23485
resnet101,16,0,22984
resnet101,16,0,22935
resnet101,16,0,23412
resnet101,16,0,22986
resnet101,16,0,22982
resnet101,16,0,23317
resnet101,16,0,21372
resnet101,16,0,22119
resnet101,16,0,21421
resnet101,16,0,22791
resnet101,16,0,22161
resnet101,16,0,22287
resnet101,16,0,21264
resnet101,16,0,21585
resnet101,16,0,22340
resnet101,16,0,21268
resnet101,16,0,22901
resnet101,16,0,21894
resnet101,16,0,21344
resnet101,16,0,21915
resnet101,16,0,21689
resnet101,16,0,21396
resnet101,16,0,21853
resnet101,16,0,21429
resnet101,16,0,22768
resnet101,16,0,22882
resnet101,16,0,21534
resnet101,16,0,22705
resnet101,16,0,23607
resnet101,16,0,26063
resnet101,16,0,30234
resnet101,16,0,23777
resnet101,16,0,23073
resnet101,16,0,23123
resnet101,16,0,22268
resnet101,16,0,23074
resnet101,16,0,23486
resnet101,16,0,23286
resnet101,16,0,23156
resnet101,16,0,23318
resnet101,16,0,22402
resnet101,16,0,23238
resnet101,16,0,23502
resnet101,16,0,23146
resnet101,16,0,23165
resnet101,16,0,22942
resnet101,16,0,23558
resnet101,16,0,22956
resnet101,16,0,23257
resnet101,16,0,23007
resnet101,16,0,22925
resnet101,16,0,23298
resnet101,16,0,23078
resnet101,16,0,23208
resnet101,16,0,23604
resnet101,16,0,23218
resnet101,16,0,23189
resnet101,16,0,24125
resnet101,16,0,24951
resnet101,16,0,23615
resnet101,16,0,23547
resnet101,16,0,23320
resnet101,16,0,22152
resnet101,16,0,21549
resnet101,16,0,23756
resnet101,16,0,23760
resnet101,16,0,23881
resnet101,16,0,23757
resnet101,16,0,22838
resnet101,16,0,23321
resnet101,16,0,23431
resnet101,16,0,24049
resnet101,16,0,23609
resnet101,16,0,23222
resnet101,16,0,23706
resnet101,16,0,23852
resnet101,16,0,23691
resnet101,16,0,23326
resnet101,16,0,23208
resnet101,16,0,23769
resnet101,16,0,23094
resnet101,16,0,23074
resnet101,16,0,23525
resnet101,16,0,23863
resnet101,16,0,23780
resnet101,16,0,23352
resnet101,16,0,23128
resnet101,16,0,23489
resnet101,16,0,23577
resnet101,16,0,21955
resnet101,16,0,23082
resnet101,16,0,23375
resnet101,16,0,21450
resnet101,16,0,21862
resnet101,16,0,23332
resnet101,16,0,23151
resnet101,16,0,23519
resnet101,16,0,23574
resnet101,16,0,23520
resnet101,16,0,23059
resnet101,16,0,23049
resnet101,16,0,23629
resnet101,16,0,23146
resnet101,16,0,23304
resnet101,16,0,23523
resnet101,16,0,23684
resnet101,16,0,23194
resnet101,16,0,22970
resnet101,16,0,25376
resnet101,16,0,26030
resnet101,16,0,27416
resnet101,16,0,25550
resnet101,16,0,31728
resnet101,16,0,26930
resnet101,16,0,23860
resnet101,16,0,22625
resnet101,16,0,22672
resnet101,16,0,23911
resnet101,16,0,23833
resnet101,16,0,24153
resnet101,16,0,23801
resnet101,16,0,23298
resnet101,16,0,23417
resnet101,16,0,23890
resnet101,16,0,23789
resnet101,16,0,23491
resnet101,16,0,23056
resnet101,16,0,23963
resnet101,16,0,22394
resnet101,16,0,23854
resnet101,16,0,26848
resnet101,16,0,23505
resnet101,16,0,23333
resnet101,16,0,23653
resnet101,16,0,23932
resnet101,16,0,23304
resnet101,16,0,22157
resnet101,16,0,22764
resnet101,16,0,23935
resnet101,16,0,23492
resnet101,16,0,23019
resnet101,16,0,23635
resnet101,16,0,23637
resnet101,16,0,23186
resnet101,16,0,23331
resnet101,16,0,24693
resnet101,16,0,23768
resnet101,16,0,23855
resnet101,16,0,23951
resnet101,16,0,23348
resnet101,16,0,23362
resnet101,16,0,23071
resnet101,16,0,23681
resnet101,16,0,23679
resnet101,16,0,23909
resnet101,16,0,23836
resnet101,16,0,23847
resnet101,16,0,22932
resnet101,16,0,23777
resnet101,16,0,23932
resnet101,16,0,26172
resnet101,16,0,23212
resnet101,16,0,23832
resnet101,16,0,22544
resnet101,16,0,23201
resnet101,16,0,23998
resnet101,16,0,23965
resnet101,16,0,23655
resnet101,16,0,23541
resnet101,16,0,22703
resnet101,16,0,23262
resnet101,16,0,23313
resnet101,16,0,23513
resnet101,16,0,23246
resnet101,16,0,22152
resnet101,16,0,24456
resnet101,16,0,21904
resnet101,16,0,23284
resnet101,16,0,23537
resnet101,16,0,23549
resnet101,16,0,22211
resnet101,16,0,23274
resnet101,16,0,23813
resnet101,16,0,23267
resnet101,16,0,23620
resnet101,16,0,23872
resnet101,16,0,23617
resnet101,16,0,23796
resnet101,16,0,23224
resnet101,16,0,23882
resnet101,16,0,24832
resnet101,16,0,23701
resnet101,16,0,24481
resnet101,16,0,24510
resnet101,16,0,22791
resnet101,16,0,23582
resnet101,16,0,23477
resnet101,16,0,23106
resnet101,16,0,23093
resnet101,16,0,21570
resnet101,16,0,23443
resnet101,16,0,23232
resnet101,16,0,22844
resnet101,16,0,23761
resnet101,16,0,23333
resnet101,16,0,26459
resnet101,16,0,23366
resnet101,16,0,23212
resnet101,16,0,22991
resnet101,16,0,23360
resnet101,16,0,22331
resnet101,16,0,23600
resnet101,16,0,22412
resnet101,16,0,22285
resnet101,16,0,22818
resnet101,16,0,23439
resnet101,16,0,22133
resnet101,16,0,23417
resnet101,16,0,22965
resnet101,16,0,23524
resnet101,16,0,27180
resnet101,16,0,24226
resnet101,16,0,22874
resnet101,16,0,23283
resnet101,16,0,22925
resnet101,16,0,23011
resnet101,16,0,22824
resnet101,16,0,23899
resnet101,16,0,23242
resnet101,16,0,23263
resnet101,16,0,23140
resnet101,16,0,22115
resnet101,16,0,22938
resnet101,16,0,23463
resnet101,16,0,23272
resnet101,16,0,21336
resnet101,16,0,25239
resnet101,16,0,23679
resnet101,16,0,23602
resnet101,16,0,23527
resnet101,16,0,23566
resnet101,16,0,23823
resnet101,16,0,23469
resnet101,16,0,23120
resnet101,16,0,23187
resnet101,16,0,23204
resnet101,16,0,23171
resnet101,16,0,22947
resnet101,16,0,24305
resnet101,16,0,23349
resnet101,16,0,21182
resnet101,16,0,27764
resnet101,16,0,23662
resnet101,16,0,29063
resnet101,16,0,26258
resnet101,16,0,21635
resnet101,16,0,23391
resnet101,16,0,23179
resnet101,16,0,23442
resnet101,16,0,23173
resnet101,16,0,21775
resnet101,16,0,23243
resnet101,16,0,23309
resnet101,16,0,23371
resnet101,16,0,23218
resnet101,16,0,23410
resnet101,16,0,25539
resnet101,16,0,23130
resnet101,16,0,23078
resnet101,16,0,23451
resnet101,16,0,23168
resnet101,16,0,21529
resnet101,16,0,23148
resnet101,16,0,22903
resnet101,16,0,23269
resnet101,16,0,23179
resnet101,16,0,23903
resnet101,16,0,29437
resnet101,16,0,28572
resnet101,16,0,23401
resnet101,16,0,23613
resnet101,16,0,23505
resnet101,16,0,23351
resnet101,16,0,26214
resnet101,16,0,23354
resnet101,16,0,23755
resnet101,16,0,23101
resnet101,16,0,23078
resnet101,16,0,22937
resnet101,16,0,22992
resnet101,16,0,23626
resnet101,16,0,23431
resnet101,16,0,23144
resnet101,16,0,23521
resnet101,16,0,23058
resnet101,16,0,22977
resnet101,16,0,23334
resnet101,16,0,23049
resnet101,16,0,23503
resnet101,16,0,23874
resnet101,16,0,23499
resnet101,16,0,25751
resnet101,16,0,23653
resnet101,16,0,23531
resnet101,16,0,22494
resnet101,16,0,23840
resnet101,16,0,23034
resnet101,16,0,22286
resnet101,16,0,23505
resnet101,16,0,23182
resnet101,16,0,23384
resnet101,16,0,23934
resnet101,16,0,24057
resnet101,16,0,29408
resnet101,16,0,32318
resnet101,16,0,27530
resnet101,16,0,25870
resnet101,16,0,27166
resnet101,16,0,34042
resnet101,16,0,23713
resnet101,16,0,32692
resnet101,16,0,23388
resnet101,16,0,21613
resnet101,16,0,21931
resnet101,16,0,21883
resnet101,16,0,21640
resnet101,16,0,21919
resnet101,16,0,21889
resnet101,16,0,31945
resnet101,16,0,29966
resnet101,16,0,21526
resnet101,16,0,21674
resnet101,16,0,22012
resnet101,16,0,21837
resnet101,16,0,21937
resnet101,16,0,21845
resnet101,16,0,24856
resnet101,16,0,21785
resnet101,16,0,21647
resnet101,16,0,21479
resnet101,16,0,21779
resnet101,16,0,21980
resnet101,16,0,21575
resnet101,16,0,21531
resnet101,16,0,21579
resnet101,16,0,21587
resnet101,16,0,30108
resnet101,16,0,24077
resnet101,16,0,21629
resnet101,16,0,21846
resnet101,16,0,21677
resnet101,16,0,21645
resnet101,16,0,30012
resnet101,16,0,27053
resnet101,16,0,25134
resnet101,16,0,21777
resnet101,16,0,21670
resnet101,16,0,21853
resnet101,16,0,21733
resnet101,16,0,21618
resnet101,16,0,21676
resnet101,16,0,21601
resnet101,16,0,21564
resnet101,16,0,21628
resnet101,16,0,21549
resnet101,16,0,21650
resnet101,16,0,21875
resnet101,16,0,21668
resnet101,16,0,21629
resnet101,16,0,21585
resnet101,16,0,21560
resnet101,16,0,21567
resnet101,16,0,21780
resnet101,16,0,27873
resnet101,16,0,30117
resnet101,16,0,25661
resnet101,16,0,21709
resnet101,16,0,21710
resnet101,16,0,21574
resnet101,16,0,21572
resnet101,16,0,29070
resnet101,16,0,25335
resnet101,16,0,21710
resnet101,16,0,21800
resnet101,16,0,21523
resnet101,16,0,21640
resnet101,16,0,28943
resnet101,16,0,24792
resnet101,16,0,21741
resnet101,16,0,21650
resnet101,16,0,21674
resnet101,16,0,21721
resnet101,16,0,29006
resnet101,16,0,27914
resnet101,16,0,21660
resnet101,16,0,28043
resnet101,16,0,25510
resnet101,16,0,27972
resnet101,16,0,24671
resnet101,16,0,22031
resnet101,16,0,21745
resnet101,16,0,21782
resnet101,16,0,21581
resnet101,16,0,27697
resnet101,16,0,24204
resnet101,16,0,21800
resnet101,16,0,21783
resnet101,16,0,21671
resnet101,16,0,21651
resnet101,16,0,27283
resnet101,16,0,21774
resnet101,16,0,21734
resnet101,16,0,21606
resnet101,16,0,21602
resnet101,16,0,21624
resnet101,16,0,25531
resnet101,16,0,21690
resnet101,16,0,21618
resnet101,16,0,21843
resnet101,16,0,21700
resnet101,16,0,21835
resnet101,16,0,21919
resnet101,16,0,21530
resnet101,16,0,21540
resnet101,16,0,21656
resnet101,16,0,21691
resnet101,16,0,21536
resnet101,16,0,27828
resnet101,16,0,23910
resnet101,16,0,21601
resnet101,16,0,21687
resnet101,16,0,21573
resnet101,16,0,21745
resnet101,16,0,21795
resnet101,16,0,26120
resnet101,16,0,21697
resnet101,16,0,21688
resnet101,16,0,21634
resnet101,16,0,21583
resnet101,16,0,21801
resnet101,16,0,21736
resnet101,16,0,21747
resnet101,16,0,21800
resnet101,16,0,21878
resnet101,16,0,21795
resnet101,16,0,22058
resnet101,16,0,21752
resnet101,16,0,21777
resnet101,16,0,21605
resnet101,16,0,21601
resnet101,16,0,21677
resnet101,16,0,21856
resnet101,16,0,21666
resnet101,16,0,21703
resnet101,16,0,21657
resnet101,16,0,29450
resnet101,16,0,26906
resnet101,16,0,26549
resnet101,16,0,27464
resnet101,16,0,26717
resnet101,16,0,26472
resnet101,16,0,25697
resnet101,16,0,24644
resnet101,16,0,26564
resnet101,16,0,25237
resnet101,16,0,25273
resnet101,16,0,26210
resnet101,16,0,25196
resnet101,16,0,24741
resnet101,16,0,26723
resnet101,16,0,26458
resnet101,16,0,25823
resnet101,16,0,21805
resnet101,16,0,21856
resnet101,16,0,21545
resnet101,16,0,31311
resnet101,16,0,25886
resnet101,16,0,21674
resnet101,16,0,29141
resnet101,16,0,24008
resnet101,16,0,31593
resnet101,16,0,27343
resnet101,16,0,26870
resnet101,16,0,26953
resnet101,16,0,26631
resnet101,16,0,27211
resnet101,16,0,27336
resnet101,16,0,26920
resnet101,16,0,27642
resnet101,16,0,26676
resnet101,16,0,25304
resnet101,16,0,26025
resnet101,16,0,27486
resnet101,16,0,26845
resnet101,16,0,27150
resnet101,16,0,30877
resnet101,16,0,22829
resnet101,16,0,21998
resnet101,16,0,21959
resnet101,16,0,21676
resnet101,16,0,22403
resnet101,16,0,21902
resnet101,16,0,21849
resnet101,16,0,22211
resnet101,16,0,22054
resnet101,16,0,22214
resnet101,16,0,21877
resnet101,16,0,21922
resnet101,16,0,21993
resnet101,16,0,21954
resnet101,16,0,21664
resnet101,16,0,21808
resnet101,16,0,21764
resnet101,16,0,29585
resnet101,16,0,30344
